id,locale,name,city_id
1,en,Riyadh,1
2,ar,الرياض,1
3,en,Jeddah,2
4,ar,جدة,2
5,en,Mecca,3
6,ar,مكة,3
7,en,"Al Madinah",4
8,ar,"المدينة المنورة",4
9,en,Dammam,5
10,ar,الدمام,5
11,en,Taif,6
12,ar,الطائف,6
13,en,Abha,7
14,ar,أبها,7
15,en,"Al Bahah",8
16,ar,الباحة,8
17,en,"Al Kharj",9
18,ar,الخرج,9
19,en,"Al Khobar",10
20,ar,الخبر,10
21,en,Arar,11
22,ar,عرعر,11
23,en,Buraydah,12
24,ar,بريدة,12
25,en,Dhahran,13
26,ar,الظهران,13
27,en,"Hafar Al-Batin",14
28,ar,"حفر الباطن",14
29,en,Hail,15
30,ar,حائل,15
31,en,Jazan,16
32,ar,جيزان,16
33,en,Khafji,17
34,ar,الخفجي,17
35,en,"Khamis Mushait",18
36,ar,"خميس مشيط",18
37,en,Yanbu,19
38,ar,ينبع,19
39,en,"Abu Dhabi",20
40,ar,"أبو ظبي",20
41,en,Dubai,21
42,ar,دبي,21
43,en,Sharjah,22
44,ar,الشارقة,22
45,en,Ajman,23
46,ar,عجمان,23
47,en,"Umm al-Quwain",24
48,ar,"أم القيوين",24
49,en,"Ras Al Khaimah",25
50,ar,"رأس الخيمة",25
51,en,Fujairah,26
52,ar,الفجيرة,26
53,en,"Al Ain",27
54,ar,العين,27
55,en,"Kuwait City",28
56,ar,"مدينة الكويت",28
57,en,Ahmadi,29
58,ar,الأحمدي,29
59,en,Hawalli,30
60,ar,حولي,30
61,en,Farwaniya,31
62,ar,الفروانية,31
63,en,Jahra,32
64,ar,الجهراء,32
65,en,"Mubarak Al-Kabeer",33
66,ar,"مبارك الكبير",33
67,en,Muscat,34
68,ar,مسقط,34
69,en,Salalah,35
70,ar,صلالة,35
71,en,Sohar,36
72,ar,صحار,36
73,en,Nizwa,37
74,ar,نزوى,37
75,en,Sur,38
76,ar,صور,38
77,en,Barka,39
78,ar,بركاء,39
79,en,Suhar,40
80,ar,سحار,40
81,en,Ibri,41
82,ar,عبري,41
83,en,Rustaq,42
84,ar,الرستاق,42
85,en,"Al Buraimi",43
86,ar,البريمي,43
87,en,Ibra,44
88,ar,إبراء,44
89,en,Al-Khabourah,45
90,ar,الخابورة,45
91,en,Bahla,46
92,ar,بهلاء,46
93,en,"Al Hamra",47
94,ar,الحمراء,47
95,en,Bidbid,48
96,ar,بدبد,48
97,en,"Al Suwaiq",49
98,ar,السويق,49
99,en,Adam,50
100,ar,آدم,50
101,en,Amman,51
102,ar,عمان,51
103,en,Irbid,52
104,ar,إربد,52
105,en,Zarqa,53
106,ar,الزرقاء,53
107,en,Aqaba,54
108,ar,العقبة,54
109,en,Madaba,55
110,ar,مادبا,55
111,en,Maan,56
112,ar,معان,56
113,en,Karak,57
114,ar,الكرك,57
115,en,Tafilah,58
116,ar,الطفيلة,58
117,en,Mafraq,59
118,ar,المفرق,59
119,en,Jerash,60
120,ar,جرش,60
121,en,Ajloun,61
122,ar,عجلون,61
123,en,Amman,62
124,ar,عمان,62
125,en,Cairo,63
126,ar,القاهرة,63
127,en,Alexandria,64
128,ar,الإسكندرية,64
129,en,Giza,65
130,ar,الجيزة,65
131,en,"Sharm El Sheikh",66
132,ar,"شرم الشيخ",66
133,en,Luxor,67
134,ar,الأقصر,67
135,en,Aswan,68
136,ar,أسوان,68
137,en,Hurghada,69
138,ar,الغردقة,69
139,en,"Port Said",70
140,ar,بورسعيد,70
141,en,Suez,71
142,ar,السويس,71
143,en,Minya,72
144,ar,المنيا,72
145,en,Assiut,73
146,ar,أسيوط,73
147,en,Tanta,74
148,ar,طنطا,74
149,en,Beirut,75
150,ar,بيروت,75
151,en,Tripoli,76
152,ar,طرابلس,76
153,en,Sidon,77
154,ar,صيدا,77
155,en,Tyre,78
156,ar,صور,78
157,en,Byblos,79
158,ar,جبيل,79
159,en,Nabatieh,80
160,ar,النبطية,80
161,en,Baabda,81
162,ar,بعبدا,81
163,en,Jounieh,82
164,ar,جونيه,82
165,en,Zahle,83
166,ar,زحلة,83
167,en,Batroun,84
168,ar,البترون,84
169,en,Baalbek,85
170,ar,بعلبك,85
171,en,Hermel,86
172,ar,الهرمل,86
173,en,Doha,87
174,ar,الدوحة,87
175,en,"Al Rayyan",88
176,ar,الريان,88
