id,locale,name,country_id
1,en,Afghanistan,4
2,ar,أفغانستان,4
3,en,"Åland Islands",248
4,ar,"جزر أولاند",248
5,en,Albania,8
6,ar,ألبانيا,8
7,en,Algeria,12
8,ar,الجزائر,12
9,en,"American Samoa",16
10,ar,"ساموا الأمريكية",16
11,en,Andorra,20
12,ar,أندورا,20
13,en,Angola,24
14,ar,أنغولا,24
15,en,Anguilla,10
16,ar,أنغويلا,660
17,en,Antarctica,660
18,ar,"القارة القطبية الجنوبية",10
19,en,"Antigua and Barbuda",28
20,ar,"أنتيغوا وباربودا",28
21,en,Argentina,32
22,ar,الأرجنتين,32
23,en,Armenia,51
24,ar,أرمينيا,51
25,en,Aruba,533
26,ar,أروبا,533
27,en,Australia,36
28,ar,أستراليا,36
29,en,Austria,40
30,ar,النمسا,40
31,en,Azerbaijan,31
32,ar,أذربيجان,31
33,en,Bahamas,44
34,ar,باهاماس,44
35,en,Bahrain,48
36,ar,البحرين,48
37,en,Bangladesh,50
38,ar,بنغلاديش,50
39,en,Barbados,52
40,ar,باربادوس,52
41,en,Belarus,112
42,ar,بيلاروس,112
43,en,Belgium,56
44,ar,بلجيكا,56
45,en,Belize,84
46,ar,بليز,84
47,en,Benin,204
48,ar,بنين,204
49,en,Bermuda,60
50,ar,برمودا,60
51,en,Bhutan,64
52,ar,بوتان,64
53,en,"Bolivia (Plurinational State of)",68
54,ar,بوليفيا,68
55,en,"Bonaire, Sint Eustatius and Saba",535
56,ar,"الجزر الكاريبية الهولندية",535
57,en,"Bosnia and Herzegovina",70
58,ar,"البوسنة والهرسك",70
59,en,Botswana,72
60,ar,بوتسوانا,72
61,en,"Bouvet Island",74
62,ar,"جزيرة بوفيه",74
63,en,Brazil,76
64,ar,البرازيل,76
65,en,"British Indian Ocean Territory",86
66,ar,"إقليم المحيط الهندي البريطاني",86
67,en,"Brunei Darussalam",96
68,ar,بروناي,96
69,en,Bulgaria,100
70,ar,بلغاريا,100
71,en,"Burkina Faso",854
72,ar,"بوركينا فاسو",854
73,en,Burundi,108
74,ar,بوروندي,108
75,en,"Cabo Verde",132
76,ar,"الرأس الأخضر",132
77,en,Cambodia,116
78,ar,كمبوديا,116
79,en,Cameroon,120
80,ar,الكاميرون,120
81,en,Canada,124
82,ar,كندا,124
83,en,"Cayman Islands",136
84,ar,"جزر كايمان",136
85,en,"Central African Republic",140
86,ar,"جمهورية أفريقيا الوسطى",140
87,en,Chad,148
88,ar,تشاد,148
89,en,Chile,152
90,ar,تشيلي,152
91,en,China,156
92,ar,الصين,156
93,en,"Christmas Island",162
94,ar,"جزيرة كريسماس",162
95,en,"Cocos (Keeling) Islands",166
96,ar,"جزر كوكوس",166
97,en,Colombia,170
98,ar,كولومبيا,170
99,en,Comoros,174
100,ar,"جزر القمر",174
101,en,Congo,178
102,ar,"جمهورية الكونغو",178
103,en,"Congo, Democratic Republic of the",180
104,ar,"جمهورية الكونغو الديمقراطية",180
105,en,"Cook Islands",184
106,ar,"جزر كوك",184
107,en,"Costa Rica",188
108,ar,كوستاريكا,188
109,en,"Côte d'Ivoire",384
110,ar,"ساحل العاج",384
111,en,Croatia,191
112,ar,كرواتيا,191
113,en,Cuba,192
114,ar,كوبا,192
115,en,Curaçao,531
116,ar,كوراساو,531
117,en,Cyprus,196
118,ar,قبرص,196
119,en,Czechia,203
120,ar,"جمهورية التشيك",203
121,en,Denmark,208
122,ar,الدنمارك,208
123,en,Djibouti,262
124,ar,جيبوتي,262
125,en,Dominica,212
126,ar,دومينيكا,212
127,en,"Dominican Republic",214
128,ar,"جمهورية الدومينيكان",214
129,en,Ecuador,218
130,ar,الإكوادور,218
131,en,Egypt,818
